,Event,max,min,avg,pct
6635,ComponentTickTime/AbilitySystemComponent/BP_SP_zidiemiao_C/AbilitySystemComponent,0.0,0.0,0.0,0.00%
6636,ComponentTickTime/BehaviorTreeComponent/BP_Pal_AIC_OWBoss_caoyuanshan_C/BehaviorTreeComponent,5.062,0.0,0.013,0.00%
6637,ComponentTickTime/Category_Camera,0.0,0.0,0.0,0.00%
6638,ComponentTickTime/Category_Character,0.0,0.0,0.0,0.00%
6639,ComponentTickTime/Category_GameFramework,0.0,0.0,0.0,0.00%
6640,ComponentTickTime/Category_OtherActor,0.0,0.0,0.0,0.00%
6641,ComponentTickTime/Category_Player,0.0,0.0,0.0,0.00%
6642,ComponentTickTime/DsPingComponent/BP_SPPlayerController_V2_C/DsPingComponent,0.112,0.006,0.014,0.00%
6643,ComponentTickTime/FurShellComponent/BP_SP_ChiYingZhuQue_C/FurShellComponent,0.001,0.0,0.0,0.00%
6644,ComponentTickTime/FurShellComponent/BP_SP_Cuilingying_C/FurShellComponent,0.0,0.0,0.0,0.00%
6645,ComponentTickTime/FurShellComponent/BP_SP_Danxiaogui_C/FurShellComponent,0.0,0.0,0.0,0.00%
6646,ComponentTickTime/FurShellComponent/BP_SP_HuZhongJun_C/FurShellComponent,0.0,0.0,0.0,0.00%
6647,ComponentTickTime/FurShellComponent/BP_SP_Huojiaoyou_C/FurShellComponent,0.0,0.0,0.0,0.00%
6648,ComponentTickTime/FurShellComponent/BP_SP_Kun_C/FurShellComponent,0.019,0.0,0.0,0.00%
6649,ComponentTickTime/FurShellComponent/BP_SP_LeiDianLu_C/FurShellComponent,0.002,0.0,0.0,0.00%
6650,ComponentTickTime/FurShellComponent/BP_SP_Moguiyu_C/FurShellComponent,0.0,0.0,0.0,0.00%
6651,ComponentTickTime/FurShellComponent/BP_SP_PawnAI_Weidaohui_01_AttackStaves_C/FurShellComponent,0.003,0.0,0.0,0.00%
6652,ComponentTickTime/FurShellComponent/BP_SP_PawnAI_Weidaohui_01_HealStaves_C/FurShellComponent,0.001,0.0,0.0,0.00%
6653,ComponentTickTime/FurShellComponent/BP_SP_PawnAI_Weidaohui_02_Pistol_C/FurShellComponent,0.021,0.0,0.0,0.00%
6654,ComponentTickTime/FurShellComponent/BP_SP_PawnAI_Weidaohui_02_Stick_C/FurShellComponent,0.001,0.0,0.0,0.00%
6655,ComponentTickTime/FurShellComponent/BP_SP_PawnAI_Weidaohui_04_Heavysword_C/FurShellComponent,0.002,0.0,0.0,0.00%
6656,ComponentTickTime/FurShellComponent/BP_SP_PawnAI_Weidaohui_04_Shotgun_C/FurShellComponent,0.018,0.0,0.0,0.00%
6657,ComponentTickTime/FurShellComponent/BP_SP_PawnAI_Xingmozong_01_AttackStaves_C/FurShellComponent,0.001,0.0,0.0,0.00%
6658,ComponentTickTime/FurShellComponent/BP_SP_PawnAI_Xingmozong_01_Pistol_C/FurShellComponent,0.014,0.0,0.0,0.00%
6659,ComponentTickTime/FurShellComponent/BP_SP_PawnAI_Xingmozong_04_Sword_C/FurShellComponent,0.018,0.0,0.0,0.00%
6660,ComponentTickTime/FurShellComponent/BP_SP_ShanXingXing_C/FurShellComponent,0.016,0.0,0.0,0.00%
6661,ComponentTickTime/FurShellComponent/BP_SP_Suanniniu_C/FurShellComponent,0.0,0.0,0.0,0.00%
6662,ComponentTickTime/FurShellComponent/BP_SP_TIANGOU_C/FurShellComponent,0.0,0.0,0.0,0.00%
6663,ComponentTickTime/FurShellComponent/BP_SP_Xingxingquan_C/FurShellComponent,0.002,0.0,0.0,0.00%
6664,ComponentTickTime/FurShellComponent/BP_SP_Yezhu01_C/FurShellComponent,0.0,0.0,0.0,0.00%
6665,ComponentTickTime/FurShellComponent/BP_SP_Yezhu02_C/FurShellComponent,0.0,0.0,0.0,0.00%
6666,ComponentTickTime/FurShellComponent/BP_SP_ZhuLiYe_C/FurShellComponent,0.0,0.0,0.0,0.00%
6667,ComponentTickTime/FurShellComponent/BP_SP_baobaolong_C/FurShellComponent,0.0,0.0,0.0,0.00%
6668,ComponentTickTime/FurShellComponent/BP_SP_bingbao_C/FurShellComponent,0.0,0.0,0.0,0.00%
6669,ComponentTickTime/FurShellComponent/BP_SP_boss_yaodiexian_C/FurShellComponent,0.017,0.0,0.0,0.00%
6670,ComponentTickTime/FurShellComponent/BP_SP_caiji_C/FurShellComponent,0.002,0.0,0.0,0.00%
6671,ComponentTickTime/FurShellComponent/BP_SP_caodie_C/FurShellComponent,0.0,0.0,0.0,0.00%
6672,ComponentTickTime/FurShellComponent/BP_SP_chuanshanke_C/FurShellComponent,0.0,0.0,0.0,0.00%
6673,ComponentTickTime/FurShellComponent/BP_SP_dilaer_C/FurShellComponent,0.0,0.0,0.0,0.00%
6674,ComponentTickTime/FurShellComponent/BP_SP_fajiaohou_C/FurShellComponent,0.002,0.0,0.0,0.00%
6675,ComponentTickTime/FurShellComponent/BP_SP_gongchengshi_C/FurShellComponent,0.0,0.0,0.0,0.00%
6676,ComponentTickTime/FurShellComponent/BP_SP_haolengwa_C/FurShellComponent,0.0,0.0,0.0,0.00%
6677,ComponentTickTime/FurShellComponent/BP_SP_huasanxi_C/FurShellComponent,0.0,0.0,0.0,0.00%
6678,ComponentTickTime/FurShellComponent/BP_SP_huiwuyao_C/FurShellComponent,0.033,0.0,0.001,0.00%
6679,ComponentTickTime/FurShellComponent/BP_SP_huoxiongmao_C/FurShellComponent,0.0,0.0,0.0,0.00%
6680,ComponentTickTime/FurShellComponent/BP_SP_jingangshu_C/FurShellComponent,0.001,0.0,0.0,0.00%
6681,ComponentTickTime/FurShellComponent/BP_SP_lanbeike_C/FurShellComponent,0.001,0.0,0.0,0.00%
6682,ComponentTickTime/FurShellComponent/BP_SP_leihou_C/FurShellComponent,0.021,0.0,0.0,0.00%
6683,ComponentTickTime/FurShellComponent/BP_SP_linhexian_C/FurShellComponent,0.001,0.0,0.0,0.00%
6684,ComponentTickTime/FurShellComponent/BP_SP_longmaju_C/FurShellComponent,0.0,0.0,0.0,0.00%
6685,ComponentTickTime/FurShellComponent/BP_SP_maoyanji_C/FurShellComponent,0.0,0.0,0.0,0.00%
6686,ComponentTickTime/FurShellComponent/BP_SP_mifeng_C/FurShellComponent,0.003,0.0,0.0,0.00%
6687,ComponentTickTime/FurShellComponent/BP_SP_nainiu_C/FurShellComponent,0.0,0.0,0.0,0.00%
6688,ComponentTickTime/FurShellComponent/BP_SP_nanguahou_C/FurShellComponent,0.002,0.0,0.0,0.00%
6689,ComponentTickTime/FurShellComponent/BP_SP_pihuoxi_C/FurShellComponent,0.0,0.0,0.0,0.00%
6690,ComponentTickTime/FurShellComponent/BP_SP_pupu_C/FurShellComponent,0.0,0.0,0.0,0.00%
6691,ComponentTickTime/FurShellComponent/BP_SP_qianshanniu_C/FurShellComponent,0.0,0.0,0.0,0.00%
6692,ComponentTickTime/FurShellComponent/BP_SP_qingtongniao_C/FurShellComponent,0.0,0.0,0.0,0.00%
6693,ComponentTickTime/FurShellComponent/BP_SP_rongrongyang_C/FurShellComponent,0.02,0.0,0.0,0.00%
6694,ComponentTickTime/FurShellComponent/BP_SP_shuimu_C/FurShellComponent,0.015,0.0,0.0,0.00%
6695,ComponentTickTime/FurShellComponent/BP_SP_songsongyu_C/FurShellComponent,0.0,0.0,0.0,0.00%
6696,ComponentTickTime/FurShellComponent/BP_SP_suanniniu_yazhong_C/FurShellComponent,0.001,0.0,0.0,0.00%
6697,ComponentTickTime/FurShellComponent/BP_SP_tanglangren_C/FurShellComponent,0.0,0.0,0.0,0.00%
6698,ComponentTickTime/FurShellComponent/BP_SP_tianlu_C/FurShellComponent,0.0,0.0,0.0,0.00%
6699,ComponentTickTime/FurShellComponent/BP_SP_xingmeng_C/FurShellComponent,0.015,0.0,0.001,0.00%
6700,ComponentTickTime/FurShellComponent/BP_SP_xizaoe_C/FurShellComponent,0.0,0.0,0.0,0.00%
6701,ComponentTickTime/FurShellComponent/BP_SP_xuanma_C/FurShellComponent,0.002,0.0,0.0,0.00%
6702,ComponentTickTime/FurShellComponent/BP_SP_yanshifu_C/FurShellComponent,0.0,0.0,0.0,0.00%
6703,ComponentTickTime/FurShellComponent/BP_SP_yanshishi_C/FurShellComponent,0.0,0.0,0.0,0.00%
6704,ComponentTickTime/FurShellComponent/BP_SP_yaoshifu_C/FurShellComponent,0.039,0.0,0.003,0.00%
6705,ComponentTickTime/FurShellComponent/BP_SP_zhaocaiwa_C/FurShellComponent,0.0,0.0,0.0,0.00%
6706,ComponentTickTime/FurShellComponent/BP_SP_zhuzixiong_C/FurShellComponent,0.016,0.0,0.0,0.00%
6707,ComponentTickTime/FurShellComponent/BP_SP_zidiemiao_C/FurShellComponent,0.0,0.0,0.0,0.00%
6708,ComponentTickTime/GameComponentContainer/SPGame/GameComponentContainer,0.033,0.0,0.001,0.00%
6709,ComponentTickTime/GpoMovementComponent/BP_SP_POI_ChaseTheElves_Elves_C/GpoMovementComponent,0.049,0.0,0.004,0.00%
6710,ComponentTickTime/MoeCharTakeDamageComponent/BP_SPGameCharacter_C/BP_SPCharTakeDamageComponent_C,0.032,0.0,0.002,0.00%
6711,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_ChiYingZhuQue_C/BP_SPCharTakeDamageComponent_C,0.001,0.0,0.0,0.00%
6712,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_Cuilingying_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6713,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_Danxiaogui_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6714,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_HuZhongJun_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6715,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_Huojiaoyou_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6716,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_Kun_C/BP_SPCharTakeDamageComponent_C,0.043,0.0,0.001,0.00%
6717,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_LeiDianLu_C/BP_SPCharTakeDamageComponent_C,0.018,0.0,0.0,0.00%
6718,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_Moguiyu_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6719,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_PawnAI_Weidaohui_01_AttackStaves_C/BP_SPCharTakeDamageComponent_C,0.041,0.0,0.0,0.00%
6720,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_PawnAI_Weidaohui_01_HealStaves_C/BP_SPCharTakeDamageComponent_C,0.011,0.0,0.0,0.00%
6721,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_PawnAI_Weidaohui_02_Pistol_C/BP_SPCharTakeDamageComponent_C,0.023,0.0,0.0,0.00%
6722,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_PawnAI_Weidaohui_02_Stick_C/BP_SPCharTakeDamageComponent_C,0.001,0.0,0.0,0.00%
6723,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_PawnAI_Weidaohui_04_Heavysword_C/BP_SPCharTakeDamageComponent_C,0.002,0.0,0.0,0.00%
6724,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_PawnAI_Weidaohui_04_Shotgun_C/BP_SPCharTakeDamageComponent_C,0.001,0.0,0.0,0.00%
6725,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_PawnAI_Xingmozong_01_AttackStaves_C/BP_SPCharTakeDamageComponent_C,0.001,0.0,0.0,0.00%
6726,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_PawnAI_Xingmozong_01_Pistol_C/BP_SPCharTakeDamageComponent_C,0.019,0.0,0.001,0.00%
6727,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_PawnAI_Xingmozong_04_Sword_C/BP_SPCharTakeDamageComponent_C,0.014,0.0,0.001,0.00%
6728,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_ShanXingXing_C/BP_SPCharTakeDamageComponent_C,0.003,0.0,0.0,0.00%
6729,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_Suanniniu_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6730,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_TIANGOU_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6731,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_Xingxingquan_C/BP_SPCharTakeDamageComponent_C,0.017,0.0,0.0,0.00%
6732,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_Yezhu01_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6733,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_Yezhu02_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6734,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_ZhuLiYe_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6735,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_baobaolong_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6736,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_bingbao_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6737,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_boss_yaodiexian_C/BP_SPCharTakeDamageComponent_C,0.042,0.0,0.001,0.00%
6738,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_caiji_C/BP_SPCharTakeDamageComponent_C,0.036,0.0,0.001,0.00%
6739,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_caodie_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6740,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_chuanshanke_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6741,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_dilaer_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6742,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_fajiaohou_C/BP_SPCharTakeDamageComponent_C,0.003,0.0,0.0,0.00%
6743,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_gongchengshi_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6744,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_haolengwa_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6745,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_huasanxi_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6746,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_huiwuyao_C/BP_SPCharTakeDamageComponent_C,0.043,0.0,0.002,0.00%
6747,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_huoxiongmao_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6748,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_jingangshu_C/BP_SPCharTakeDamageComponent_C,0.001,0.0,0.0,0.00%
6749,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_lanbeike_C/BP_SPCharTakeDamageComponent_C,0.001,0.0,0.0,0.00%
6750,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_leihou_C/BP_SPCharTakeDamageComponent_C,0.018,0.0,0.001,0.00%
6751,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_linhexian_C/BP_SPCharTakeDamageComponent_C,0.001,0.0,0.0,0.00%
6752,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_longmaju_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6753,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_maoyanji_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6754,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_mifeng_C/BP_SPCharTakeDamageComponent_C,0.016,0.0,0.0,0.00%
6755,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_nainiu_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6756,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_nanguahou_C/BP_SPCharTakeDamageComponent_C,0.015,0.0,0.0,0.00%
6757,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_pihuoxi_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6758,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_pupu_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6759,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_qianshanniu_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6760,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_qingtongniao_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6761,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_rongrongyang_C/BP_SPCharTakeDamageComponent_C,0.019,0.0,0.001,0.00%
6762,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_shuimu_C/BP_SPCharTakeDamageComponent_C,0.024,0.0,0.001,0.00%
6763,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_songsongyu_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6764,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_suanniniu_yazhong_C/BP_SPCharTakeDamageComponent_C,0.001,0.0,0.0,0.00%
6765,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_tanglangren_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6766,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_tianlu_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6767,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_xingmeng_C/BP_SPCharTakeDamageComponent_C,0.048,0.0,0.003,0.00%
6768,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_xizaoe_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6769,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_xuanma_C/BP_SPCharTakeDamageComponent_C,0.032,0.0,0.0,0.00%
6770,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_yanshifu_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6771,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_yanshishi_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6772,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_yaoshifu_C/BP_SPCharTakeDamageComponent_C,0.071,0.0,0.006,0.00%
6773,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_zhaocaiwa_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6774,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_zhuzixiong_C/BP_SPCharTakeDamageComponent_C,0.07,0.0,0.001,0.00%
6775,ComponentTickTime/MoeCharTakeDamageComponent/BP_SP_zidiemiao_C/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
6776,ComponentTickTime/PathFollowingComponent/BP_Pal_AIC_OWBoss_caoyuanshan_C/PathFollowingComponent,0.021,0.0,0.0,0.00%
6777,ComponentTickTime/PawnActionsComponent/BP_Pal_AIC_OWBoss_caoyuanshan_C/PawnActionsComponent,0.002,0.0,0.0,0.00%
6778,ComponentTickTime/SPAbilityComponent/BP_SOCM_PA_Terminal_001_A_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6779,ComponentTickTime/SPAbilityComponent/BP_SPGameCharacter_C/SPAbilityComponent,2.194,0.03,0.312,0.00%
6780,ComponentTickTime/SPAbilityComponent/BP_SP_ChiYingZhuQue_C/SPAbilityComponent,8.445,0.0,0.011,0.00%
6781,ComponentTickTime/SPAbilityComponent/BP_SP_Cuilingying_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6782,ComponentTickTime/SPAbilityComponent/BP_SP_Danxiaogui_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6783,ComponentTickTime/SPAbilityComponent/BP_SP_HuZhongJun_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6784,ComponentTickTime/SPAbilityComponent/BP_SP_Huojiaoyou_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6785,ComponentTickTime/SPAbilityComponent/BP_SP_Kun_C/SPAbilityComponent,21.183,0.009,0.28,0.00%
6786,ComponentTickTime/SPAbilityComponent/BP_SP_LeiDianLu_C/SPAbilityComponent,0.04,0.001,0.004,0.00%
6787,ComponentTickTime/SPAbilityComponent/BP_SP_Moguiyu_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6788,ComponentTickTime/SPAbilityComponent/BP_SP_PawnAI_Weidaohui_01_AttackStaves_C/SPAbilityComponent,0.821,0.0,0.007,0.00%
6789,ComponentTickTime/SPAbilityComponent/BP_SP_PawnAI_Weidaohui_01_HealStaves_C/SPAbilityComponent,0.292,0.0,0.003,0.00%
6790,ComponentTickTime/SPAbilityComponent/BP_SP_PawnAI_Weidaohui_02_Pistol_C/SPAbilityComponent,1.081,0.0,0.01,0.00%
6791,ComponentTickTime/SPAbilityComponent/BP_SP_PawnAI_Weidaohui_02_Stick_C/SPAbilityComponent,0.288,0.0,0.002,0.00%
6792,ComponentTickTime/SPAbilityComponent/BP_SP_PawnAI_Weidaohui_04_Heavysword_C/SPAbilityComponent,1.153,0.0,0.005,0.00%
6793,ComponentTickTime/SPAbilityComponent/BP_SP_PawnAI_Weidaohui_04_Shotgun_C/SPAbilityComponent,2.722,0.0,0.003,0.00%
6794,ComponentTickTime/SPAbilityComponent/BP_SP_PawnAI_Xingmozong_01_AttackStaves_C/SPAbilityComponent,1.256,0.001,0.006,0.00%
6795,ComponentTickTime/SPAbilityComponent/BP_SP_PawnAI_Xingmozong_01_Pistol_C/SPAbilityComponent,1.216,0.007,0.026,0.00%
6796,ComponentTickTime/SPAbilityComponent/BP_SP_PawnAI_Xingmozong_04_Sword_C/SPAbilityComponent,1.223,0.002,0.016,0.00%
6797,ComponentTickTime/SPAbilityComponent/BP_SP_ShanXingXing_C/SPAbilityComponent,4.833,0.0,0.005,0.00%
6798,ComponentTickTime/SPAbilityComponent/BP_SP_Suanniniu_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6799,ComponentTickTime/SPAbilityComponent/BP_SP_TIANGOU_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6800,ComponentTickTime/SPAbilityComponent/BP_SP_Xingxingquan_C/SPAbilityComponent,1.476,0.0,0.007,0.00%
6801,ComponentTickTime/SPAbilityComponent/BP_SP_Yezhu01_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6802,ComponentTickTime/SPAbilityComponent/BP_SP_Yezhu02_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6803,ComponentTickTime/SPAbilityComponent/BP_SP_ZhuLiYe_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6804,ComponentTickTime/SPAbilityComponent/BP_SP_baobaolong_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6805,ComponentTickTime/SPAbilityComponent/BP_SP_bingbao_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6806,ComponentTickTime/SPAbilityComponent/BP_SP_boss_yaodiexian_C/SPAbilityComponent,2.772,0.009,0.233,0.00%
6807,ComponentTickTime/SPAbilityComponent/BP_SP_caiji_C/SPAbilityComponent,1.569,0.002,0.022,0.00%
6808,ComponentTickTime/SPAbilityComponent/BP_SP_caodie_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6809,ComponentTickTime/SPAbilityComponent/BP_SP_chuanshanke_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6810,ComponentTickTime/SPAbilityComponent/BP_SP_dilaer_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6811,ComponentTickTime/SPAbilityComponent/BP_SP_fajiaohou_C/SPAbilityComponent,2.976,0.0,0.006,0.00%
6812,ComponentTickTime/SPAbilityComponent/BP_SP_gongchengshi_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6813,ComponentTickTime/SPAbilityComponent/BP_SP_haolengwa_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6814,ComponentTickTime/SPAbilityComponent/BP_SP_huasanxi_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6815,ComponentTickTime/SPAbilityComponent/BP_SP_huiwuyao_C/SPAbilityComponent,6.306,0.033,0.492,0.00%
6816,ComponentTickTime/SPAbilityComponent/BP_SP_huoxiongmao_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6817,ComponentTickTime/SPAbilityComponent/BP_SP_jingangshu_C/SPAbilityComponent,3.609,0.0,0.002,0.00%
6818,ComponentTickTime/SPAbilityComponent/BP_SP_lanbeike_C/SPAbilityComponent,4.766,0.0,0.005,0.00%
6819,ComponentTickTime/SPAbilityComponent/BP_SP_leihou_C/SPAbilityComponent,6.649,0.012,0.266,0.00%
6820,ComponentTickTime/SPAbilityComponent/BP_SP_linhexian_C/SPAbilityComponent,5.485,0.0,0.011,0.00%
6821,ComponentTickTime/SPAbilityComponent/BP_SP_longmaju_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6822,ComponentTickTime/SPAbilityComponent/BP_SP_maoyanji_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6823,ComponentTickTime/SPAbilityComponent/BP_SP_mifeng_C/SPAbilityComponent,3.821,0.0,0.015,0.00%
6824,ComponentTickTime/SPAbilityComponent/BP_SP_nainiu_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6825,ComponentTickTime/SPAbilityComponent/BP_SP_nanguahou_C/SPAbilityComponent,1.203,0.0,0.002,0.00%
6826,ComponentTickTime/SPAbilityComponent/BP_SP_pihuoxi_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6827,ComponentTickTime/SPAbilityComponent/BP_SP_pupu_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6828,ComponentTickTime/SPAbilityComponent/BP_SP_qianshanniu_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6829,ComponentTickTime/SPAbilityComponent/BP_SP_qingtongniao_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6830,ComponentTickTime/SPAbilityComponent/BP_SP_rongrongyang_C/SPAbilityComponent,2.736,0.005,0.063,0.00%
6831,ComponentTickTime/SPAbilityComponent/BP_SP_shuimu_C/SPAbilityComponent,5.294,0.002,0.021,0.00%
6832,ComponentTickTime/SPAbilityComponent/BP_SP_songsongyu_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6833,ComponentTickTime/SPAbilityComponent/BP_SP_suanniniu_yazhong_C/SPAbilityComponent,1.233,0.0,0.001,0.00%
6834,ComponentTickTime/SPAbilityComponent/BP_SP_tanglangren_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6835,ComponentTickTime/SPAbilityComponent/BP_SP_tianlu_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6836,ComponentTickTime/SPAbilityComponent/BP_SP_xingmeng_C/SPAbilityComponent,9.083,0.044,0.874,0.00%
6837,ComponentTickTime/SPAbilityComponent/BP_SP_xizaoe_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
6838,ComponentTickTime/SPAbilityComponent/BP_SP_xuanma_C/SPAbilityComponent,9.836,0.0,0.024,0.00%
6839,ComponentTickTime/SPAbilityComponent/BP_SP_yanshifu_C/SPAbilityComponent,0.0,0.0,0.0,0.00%
